date,supplier_id,supplier_name,component_id,component_name,lead_time_days,order_quantity,on_time_delivery,supplier_tier,supplier_region
2023-01-01,SUP001,Acme Materials,COMP_A,Steel Alloy,16,6061,1,Tier1,Asia
2023-01-01,SUP002,Global Plastics,COMP_B,Polymer X,27,3156,0,Tier2,Europe
2023-01-02,SUP001,Acme Materials,COMP_A,Steel Alloy,19,6760,0,Tier1,Asia
2023-01-02,SUP002,Global Plastics,COMP_B,Polymer X,22,2791,1,Tier2,Europe
2023-01-03,SUP001,Acme Materials,COMP_A,Steel Alloy,14,6502,1,Tier1,Asia
2023-01-03,SUP002,Global Plastics,COMP_B,Polymer X,22,3821,1,Tier2,Europe
2023-01-04,SUP001,Acme Materials,COMP_A,Steel Alloy,14,4230,1,Tier1,Asia
2023-01-04,SUP002,Global Plastics,COMP_B,Polymer X,27,2369,0,Tier2,Europe
2023-01-05,SUP001,Acme Materials,COMP_A,Steel Alloy,14,6156,1,Tier1,Asia
2023-01-05,SUP002,Global Plastics,COMP_B,Polymer X,22,2807,1,Tier2,Europe
2023-01-06,SUP001,Acme Materials,COMP_A,Steel Alloy,14,3706,1,Tier1,Asia
2023-01-06,SUP002,Global Plastics,COMP_B,Polymer X,22,4478,1,Tier2,Europe
2023-01-07,SUP001,Acme Materials,COMP_A,Steel Alloy,16,6469,1,Tier1,Asia
2023-01-07,SUP002,Global Plastics,COMP_B,Polymer X,32,2406,0,Tier2,Europe
2023-01-08,SUP001,Acme Materials,COMP_A,Steel Alloy,19,2501,0,Tier1,Asia
2023-01-08,SUP002,Global Plastics,COMP_B,Polymer X,22,3782,1,Tier2,Europe
2023-01-09,SUP001,Acme Materials,COMP_A,Steel Alloy,14,4669,1,Tier1,Asia
2023-01-09,SUP002,Global Plastics,COMP_B,Polymer X,22,2960,1,Tier2,Europe
2023-01-10,SUP001,Acme Materials,COMP_A,Steel Alloy,16,6311,1,Tier1,Asia
2023-01-10,SUP002,Global Plastics,COMP_B,Polymer X,22,2263,1,Tier2,Europe
2023-01-11,SUP001,Acme Materials,COMP_A,Steel Alloy,19,3696,0,Tier1,Asia
2023-01-11,SUP002,Global Plastics,COMP_B,Polymer X,22,3713,1,Tier2,Europe
2023-01-12,SUP001,Acme Materials,COMP_A,Steel Alloy,16,3747,1,Tier1,Asia
2023-01-12,SUP002,Global Plastics,COMP_B,Polymer X,22,2308,1,Tier2,Europe
2023-01-13,SUP001,Acme Materials,COMP_A,Steel Alloy,14,3137,1,Tier1,Asia
2023-01-13,SUP002,Global Plastics,COMP_B,Polymer X,27,3769,0,Tier2,Europe
2023-01-14,SUP001,Acme Materials,COMP_A,Steel Alloy,14,4684,1,Tier1,Asia
2023-01-14,SUP002,Global Plastics,COMP_B,Polymer X,24,3582,1,Tier2,Europe
2023-01-15,SUP001,Acme Materials,COMP_A,Steel Alloy,14,4212,1,Tier1,Asia
2023-01-15,SUP002,Global Plastics,COMP_B,Polymer X,27,3731,0,Tier2,Europe
2023-01-16,SUP001,Acme Materials,COMP_A,Steel Alloy,14,4697,1,Tier1,Asia
2023-01-16,SUP002,Global Plastics,COMP_B,Polymer X,24,2101,1,Tier2,Europe
2023-01-17,SUP001,Acme Materials,COMP_A,Steel Alloy,14,5162,1,Tier1,Asia
2023-01-17,SUP002,Global Plastics,COMP_B,Polymer X,22,5813,1,Tier2,Europe
2023-01-18,SUP001,Acme Materials,COMP_A,Steel Alloy,16,4995,1,Tier1,Asia
2023-01-18,SUP002,Global Plastics,COMP_B,Polymer X,22,2201,1,Tier2,Europe
2023-01-19,SUP001,Acme Materials,COMP_A,Steel Alloy,14,4689,1,Tier1,Asia
